year,ratio,issue_price
2019,,100.91
2020,,17.61
2020,,17.54
2020,,44.86
2020,,3.47
2020,,77.16
2020,,48.71
2020,,147.18
2020,,105.43
2020,,3.11
2020,,34.07
2020,,69.26
2020,,25.71
2020,21:6,
2020,,242.99
2020,,3.95
2020,,104.4
2020,20:7,
2020,20:15,
2020,21:6,
2020,20:7,
2020,20:15,
2020,20:1,
2020,,22.0
2020,,22.0
2020,20:7,
2020,,21.29
2020,,79.61
2020,,44.94
2020,,436.94
2020,,18.0
2020,,15.57
2020,,20.07
2020,,19.16
2020,,7.99
2020,,6.95
2020,,10.69
2020,,9.36
2020,,5.02
2020,,3.6
2020,,2.07
2020,,1.64
2020,,1.96
2020,,147.2
2020,,4.67
2020,,2.96
2020,,536.79
2020,20:7,
2020,,105.43
2020,,536.79
2020,,536.79
2020,,24.31
2020,,33.07
2020,,13.82
2020,,4.22
2020,,55.43
2020,,536.79
2020,,536.79
2020,,72.0
2020,,436.94
2020,,2.3
2020,20:23,
2020,,97.0
2020,,92.0
2020,,3.35
2020,,4.6
2020,20:8,
2020,,522.0
2020,,1.4
2020,,1.0
2020,,9.01
2020,,7.45
2020,,17.39
2020,,4.0
2020,,2.0
2020,,12.0
2020,,26.0
2020,,1.7
2020,,3.59
2020,,2.31
2020,,26.0
2020,,1.7
2020,,3.59
2020,,2.31
2020,,7.0
2020,,7.0
2020,,573.0
2020,,1.3
2020,,5.98
2020,,3.37
2020,,151.0
2020,,3.32
2020,20:17,
2020,20:4,
2020,,315.0
2020,20:23,
2020,20:4,
2020,,315.0
2020,,2.0
2020,,174.0
2020,,756.0
2020,,2.3
2020,,174.0
2020,,756.0
2020,,1.0
2020,,5.6
2020,,75.0
2020,,250.0
2020,,45.5
2020,,1.5
2020,20:2,
2020,20:2,
2020,20:2,
2020,,164.0
2020,,2.3
2020,,4.4
2020,,16.0
2020,,12.0
2020,,12.0
2020,20:3,
2020,20:14,
2020,,12.0
2020,,0.5
2020,,17.86
2020,,3.61
2020,,3.61
2020,,4.38
2020,,3.32
2020,,3.37
2020,,2.83
2020,,2.57
2020,,5.52
2020,,5.11
2020,,4.14
2020,,4.27
2020,,3.32
2020,,5.52
2020,,3.59
2020,,2.31
2020,,641.0
2020,,274.0
2020,,186.0
2020,,363.0
2020,,343.0
2020,,356.0
2020,,3.64
2020,,20.0
2020,,2.99
2020,,3.08
2020,,1.29
2020,,5.98
2020,,17.76
2020,,2.99
2020,,19.16
2020,,21.43
2020,,3.0
2020,,2.99
2020,,20.0
2020,,918.0
2020,,784.0
2020,,2014.0
2020,,3.0
2020,,50.0
2020,,6.0
2020,,54.0
2020,,226.0
2020,,537.0
